route,bound,service_type,orig_en,orig_tc,orig_sc,dest_en,dest_tc,dest_sc,data_timestamp
98D,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),
98E,O,1,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),MEI FOO,美孚,美孚,
98E,I,1,MEI FOO,美孚,美孚,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),
98P,O,1,HONG SING GARDEN,康盛花園,康盛花园,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
98P,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),
98R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),
98S,O,1,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),MEI FOO,美孚,美孚,
98S,I,1,MEI FOO,美孚,美孚,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),
99,O,1,HENG ON,恆安,恒安,SAI KUNG,西貢,西贡,
99,I,1,SAI KUNG,西貢,西贡,HENG ON,恆安,恒安,
99R,O,1,UNIVERSITY STATION,大學站,大学站,SAI KUNG NORTH (SAI KUNG POLICE STATION),西貢北(西貢警署),西贡北(西贡警署),
99R,I,1,SAI KUNG NORTH (SAI KUNG POLICE STATION),西貢北(西貢警署),西贡北(西贡警署),UNIVERSITY STATION,大學站,大学站,
101,O,1,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),KENNEDY TOWN,堅尼地城,坚尼地城,
101,O,2,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),DES VOEUX RD CENTRAL,德輔道中,德辅道中,
101,O,3,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),BELCHER'S STREET,卑路乍街,卑路乍街,
101,O,9,MOK CHEONG STREET,木廠街,木厂街,KENNEDY TOWN,堅尼地城,坚尼地城,
101,I,1,KENNEDY TOWN,堅尼地城,坚尼地城,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
101,I,2,DES VOEUX RD CENTRAL,德輔道中,德辅道中,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
101R,O,1,HAPPY VALLEY RACE COURSE,跑馬地馬場,跑马地马场,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
101X,O,1,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),KENNEDY TOWN,堅尼地城,坚尼地城,
101X,O,2,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),KENNEDY TOWN,堅尼地城,坚尼地城,
101X,I,1,KENNEDY TOWN,堅尼地城,坚尼地城,KWUN TONG (YUE MAN SQUARE),觀塘(裕民坊),观塘(裕民坊),
102,O,1,SHAU KEI WAN,筲箕灣,筲箕湾,MEI FOO,美孚,美孚,
102,I,1,MEI FOO,美孚,美孚,SHAU KEI WAN,筲箕灣,筲箕湾,
102P,O,1,SHAU KEI WAN,筲箕灣,筲箕湾,MEI FOO,美孚,美孚,
102P,I,1,MEI FOO,美孚,美孚,SHAU KEI WAN,筲箕灣,筲箕湾,
102P,I,3,HUNG HOM CROSS HARBOUR TUNNEL,紅磡海底隧道,红磡海底隧道,SHAU KEI WAN,筲箕灣,筲箕湾,
102R,O,1,HAPPY VALLEY RACE COURSE,跑馬地馬場,跑马地马场,MEI FOO,美孚,美孚,
103,O,1,CHUK YUEN ESTATE,竹園邨,竹园邨,POKFIELD RD,蒲飛路,蒲飞路,
103,I,1,POKFIELD RD,蒲飛路,蒲飞路,CHUK YUEN ESTATE,竹園邨,竹园邨,
104,O,1,KENNEDY TOWN,堅尼地城,坚尼地城,Sham Shui Po (Pak Tin Estate),深水埗(白田邨),深水埗(白田邨),
104,I,1,Sham Shui Po (Pak Tin Estate),深水埗(白田邨),深水埗(白田邨),KENNEDY TOWN,堅尼地城,坚尼地城,
106,O,1,WONG TAI SIN,黃大仙,黄大仙,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),
106,I,1,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),WONG TAI SIN,黃大仙,黄大仙,
106A,O,1,WONG TAI SIN,黃大仙,黄大仙,TAI KOO (KORNHILL PLAZA),太古(康怡廣場),太古(康怡广场),
106P,O,1,WONG TAI SIN,黃大仙,黄大仙,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),
106P,I,1,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),WONG TAI SIN,黃大仙,黄大仙,
106P,I,2,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),WONG TAI SIN,黃大仙,黄大仙,
107,O,1,KOWLOON BAY,九龍灣,九龙湾,WAH KWAI,華貴,华贵,
107,O,2,KOWLOON BAY,九龍灣,九龙湾,WAH KWAI,華貴,华贵,
107,I,1,WAH KWAI,華貴,华贵,KOWLOON BAY,九龍灣,九龙湾,
107,I,2,WAH KWAI,華貴,华贵,KOWLOON BAY,九龍灣,九龙湾,
107P,O,1,LAGUNA VERDE,海逸豪園,海逸豪园,CYBERPORT,數碼港,数码港,
107P,I,1,CYBERPORT,數碼港,数码港,LAGUNA VERDE,海逸豪園,海逸豪园,
108,O,1,KAI YIP,啟業,启业,BRAEMAR HILL,寶馬山,宝马山,
108,O,3,SUNG WONG TOI ROAD,九龍城(盛德街),九龙城(盛德街),CAUSEWAY BAY (PENNINGTON STREET),銅鑼灣(邊寧頓街),铜锣湾(边宁顿街),
108,I,1,BRAEMAR HILL,寶馬山,宝马山,KAI YIP,啟業,启业,
109,O,1,HO MAN TIN,何文田,何文田,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),
109,I,1,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),HO MAN TIN,何文田,何文田,
110,O,1,SHAU KEI WAN,筲箕灣,筲箕湾,TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
110,O,2,SHAU KEI WAN,筲箕灣,筲箕湾,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
110,O,5,SHAU KEI WAN,筲箕灣,筲箕湾,TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
110,O,6,SHAU KEI WAN,筲箕灣,筲箕湾,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
111,O,1,PING SHEK / CHOI HUNG STATION,坪石 / 彩虹站,坪石 / 彩虹站,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),
111,I,1,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),PING SHEK / CHOI HUNG STATION,坪石 / 彩虹站,坪石 / 彩虹站,
111P,O,1,CHOI FOOK,彩福,彩福,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),
111P,I,1,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),CHOI FOOK,彩福,彩福,
112,O,1,NORTH POINT (PAK FUK ROAD),北角(百福道),北角(百福道),CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),
112,I,1,CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),NORTH POINT (PAK FUK ROAD),北角(百福道),北角(百福道),
113,O,1,CHOI HUNG,彩虹,彩虹,KENNEDY TOWN (BELCHER BAY),堅尼地城(卑路乍灣),坚尼地城(卑路乍湾),
113,I,1,KENNEDY TOWN (BELCHER BAY),堅尼地城(卑路乍灣),坚尼地城(卑路乍湾),CHOI HUNG,彩虹,彩虹,
115,O,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),
115,I,1,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
115P,O,1,LAGUNA VERDE,海逸豪園,海逸豪园,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),
116,O,1,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),QUARRY BAY (YAU MAN STREET),鰂魚涌(祐民街),鲗鱼涌(佑民街),
116,I,1,QUARRY BAY (YAU MAN STREET),鰂魚涌(祐民街),鲗鱼涌(佑民街),TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
116,I,2,FORTRESS HILL STATION,炮台山站,炮台山站,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
117,O,1,SHAM SHUI PO (YEN CHOW ST),深水埗(欽州街),深水埗(钦州街),HAPPY VALLEY (LOWER),跑馬地(下),跑马地(下),
117,I,1,HAPPY VALLEY (LOWER),跑馬地(下),跑马地(下),SHAM SHUI PO (YEN CHOW ST),深水埗(欽州街),深水埗(钦州街),
118,O,1,CHEUNG SHA WAN (SHAM MONG ROAD),長沙灣(深旺道),长沙湾(深旺道),SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),
118,O,2,MONG KOK (NELSON ST),旺角(奶路臣街),旺角(奶路臣街),SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),
118,O,3,CROSS HARBOUR TUNNEL,紅磡海底隧道,红磡海底隧道,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),
118,I,1,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),CHEUNG SHA WAN (SHAM MONG ROAD),長沙灣(深旺道),长沙湾(深旺道),
118,I,3,CHAI WAN (GREENWOOD TERRACE),柴灣(康翠臺),柴湾(康翠台),CHEUNG SHA WAN (SHAM MONG ROAD),長沙灣(深旺道),长沙湾(深旺道),
118P,O,1,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),CHEUNG SHA WAN (SHAM MONG ROAD),長沙灣(深旺道),长沙湾(深旺道),
118P,O,4,SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),KEI WING PRIMARY SCHOOL,基榮小學,基荣小学,
118P,I,1,CHEUNG SHA WAN (SHAM MONG ROAD),長沙灣(深旺道),长沙湾(深旺道),SIU SAI WAN (ISLAND RESORT),小西灣(藍灣半島),小西湾(蓝湾半岛),
118R,O,1,SIU SAI WAN SPORTS GROUND,小西灣運動場,小西湾运动场,MONG KOK,旺角,旺角,
170,O,1,SHATIN STATION,沙田站,沙田站,WAH FU (CENTRAL),華富(中),华富(中),
170,O,2,SHATIN STATION,沙田站,沙田站,WAH FU (CENTRAL),華富(中),华富(中),
170,I,1,WAH FU (CENTRAL),華富(中),华富(中),SHATIN STATION,沙田站,沙田站,
170,I,2,WAH FU (CENTRAL),華富(中),华富(中),SHATIN STATION,沙田站,沙田站,
171,O,1,LAI CHI KOK,荔枝角,荔枝角,SOUTH HORIZONS,海怡半島,海怡半岛,
171,O,2,LAI CHI KOK,荔枝角,荔枝角,SOUTH HORIZONS,海怡半島,海怡半岛,
171,O,7,LAI CHI KOK,荔枝角,荔枝角,SOUTH HORIZONS,海怡半島,海怡半岛,
171,I,1,SOUTH HORIZONS,海怡半島,海怡半岛,LAI CHI KOK,荔枝角,荔枝角,
171,I,2,SOUTH HORIZONS,海怡半島,海怡半岛,LAI CHI KOK,荔枝角,荔枝角,
171,I,9,SOUTH HORIZONS,海怡半島,海怡半岛,LAI CHI KOK,荔枝角,荔枝角,
171A,O,1,LEI TUNG ESTATE,利東邨,利东邨,LAI CHI KOK,荔枝角,荔枝角,
171P,O,1,SOUTH HORIZONS,海怡半島,海怡半岛,LAI CHI KOK,荔枝角,荔枝角,
182,O,1,YU CHUI COURT,愉翠苑,愉翠苑,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),
182,I,1,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),YU CHUI COURT,愉翠苑,愉翠苑,
182X,O,1,CENTRAL (MACAU FERRY),中環(港澳碼頭),中环(港澳码头),YU CHUI COURT,愉翠苑,愉翠苑,
203C,O,1,SHAM SHUI PO (TAI HANG TUNG),深水埗(大坑東),深水埗(大坑东),TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
203C,I,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),SHAM SHUI PO (TAI HANG TUNG),深水埗(大坑東),深水埗(大坑东),
203C,I,2,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),SHAM SHUI PO (TAI HANG TUNG),深水埗(大坑東),深水埗(大坑东),
203E,O,1,CHOI HUNG,彩虹,彩虹,KOWLOON STATION,九龍站,九龙站,
203E,I,1,KOWLOON STATION,九龍站,九龙站,CHOI HUNG,彩虹,彩虹,
203S,O,1,CHAK ON,澤安,泽安,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
208,O,1,BROADCAST DRIVE,廣播道,广播道,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
208,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,BROADCAST DRIVE,廣播道,广播道,
211,O,1,TSUI CHUK GARDEN,翠竹花園,翠竹花园,WONG TAI SIN STATION (CIRCULAR),黃大仙站(循環線),黄大仙站(循环线),
211A,O,1,LOK FU,樂富,乐富,TSUI CHUK GARDEN (CIRCULAR),翠竹花園(循環線),翠竹花园(循环线),
213A,O,1,ON TAT,安達,安达,PING SHEK / CHOI HUNG STATION,坪石 / 彩虹站,坪石 / 彩虹站,
213B,O,1,ON TAI,安泰,安泰,"TING FU STREET, KWUN TONG",觀塘定富街,观塘定富街,
213D,O,1,SAU MAU PING (CENTRAL),中秀茂坪,中秀茂坪,MONG KOK (CIRCULAR),旺角(循環線),旺角(循环线),
213E,O,1,ANDERSON,安達臣,安达臣,KOWLOON STATION,九龍站,九龙站,
213E,I,1,KOWLOON STATION,九龍站,九龙站,ANDERSON,安達臣,安达臣,
213M,O,1,ON TAI,安泰,安泰,LAM TIN STATION (CIRCULAR),藍田站(循環線),蓝田站(循环线),
213S,O,1,ON TAT,安達,安达,LAM TIN STATION (CIRCULAR),藍田站(循環線),蓝田站(循环线),
213X,O,1,ON TAI (SOUTH) (HANG TAI HOUSE),安泰(南)(恆泰樓),安泰(南)(恒泰楼),TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
213X,O,2,ON TAI (SOUTH) (HANG TAI HOUSE),安泰(南)(恆泰樓),安泰(南)(恒泰楼),TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
214,O,1,YAU TONG,油塘,油塘,CHEUNG SHA WAN (KOM TSUN STREET),長沙灣(甘泉街),长沙湾(甘泉街),
214,O,2,PO TAT,寶達,宝达,LAI CHI KOK STATION,荔枝角站,荔枝角站,
214,I,1,CHEUNG SHA WAN (KOM TSUN STREET),長沙灣(甘泉街),长沙湾(甘泉街),YAU TONG,油塘,油塘,
214P,O,1,ON SAU ROAD,安秀道,安秀道,LAI CHI KOK STATION,荔枝角站,荔枝角站,
215P,O,1,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),KOWLOON STATION,九龍站,九龙站,
215R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,SHUN TIN,順天,顺天,
215X,O,1,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),KOWLOON STATION,九龍站,九龙站,
215X,O,2,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),KOWLOON STATION,九龍站,九龙站,
215X,I,1,KOWLOON STATION,九龍站,九龙站,LAM TIN (KWONG TIN ESTATE),藍田(廣田邨),蓝田(广田邨),
216M,O,1,LAM TIN STATION,藍田站,蓝田站,YAU TONG STATION (CIRCULAR),油塘站(循環線),油塘站(循环线),
219X,O,1,LAGUNA CITY,麗港城,丽港城,TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
219X,O,4,KO LING ROAD,高嶺道,高岭道,TSIM SHA TSUI (CIRCULAR),尖沙咀(循環線),尖沙咀(循环线),
224R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,WONG TAI SIN,黃大仙,黄大仙,
224X,O,1,KAI YIP,啟業,启业,TSIM SHA TSUI EAST (CIRCULAR),尖沙咀東(循環線),尖沙咀东(循环线),
224X,O,2,KAI YIP,啟業,启业,TSIM SHA TSUI EAST (CIRCULAR),尖沙咀東(循環線),尖沙咀东(循环线),
224X,O,3,KAI TAK BUS TERMINUS,啟德巴士總站,启德巴士总站,TSIM SHA TSUI EAST (CIRCULAR),尖沙咀東(循環線),尖沙咀东(循环线),
230R,O,1,KOWLOON STATION,九龍站,九龙站,MA WAN (PAK YAN ROAD),馬灣(珀欣路),马湾(珀欣路),
230R,I,1,MA WAN (PAK YAN ROAD),馬灣(珀欣路),马湾(珀欣路),KOWLOON STATION,九龍站,九龙站,
230X,O,1,TSUEN WAN (ALLWAY GARDENS),荃灣(荃威花園),荃湾(荃威花园),WHAMPOA GARDEN,黃埔花園,黄埔花园,
234A,O,1,SHAM TSENG (SEA CREST VILLA),深井(浪翠園),深井(浪翠园),TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
234A,O,2,TSING LUNG TAU TSUEN,青龍頭村,青龙头村,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
234A,I,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,SHAM TSENG (SEA CREST VILLA),深井(浪翠園),深井(浪翠园),
234B,O,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,SHAM TSENG (SEA CREST VILLA),深井(浪翠園),深井(浪翠园),
234B,I,1,SHAM TSENG (SEA CREST VILLA),深井(浪翠園),深井(浪翠园),TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
234C,O,1,SHAM TSENG,深井,深井,KWUN TONG (TSUI PING NORTH ESTATE),觀塘(翠屏北邨),观塘(翠屏北邨),
234C,I,1,KWUN TONG (TSUI PING NORTH ESTATE),觀塘(翠屏北邨,观塘(翠屏北邨,SHAM TSENG,深井,深井,
234D,O,1,TSING LUNG TAU,青龍頭,青龙头,KWUN TONG (TSUI PING NORTH ESTATE),觀塘(翠屏北邨),观塘(翠屏北邨),
234D,I,1,KWUN TONG(TSUI PING NORTH ESTATE),觀塘(翠屏北邨),观塘(翠屏北邨),TSING LUNG TAU,青龍頭,青龙头,
234P,O,1,TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),STAR FERRY,尖沙咀碼頭,尖沙咀码头,
234X,O,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),
234X,I,1,TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
235,O,1,KWAI CHUNG (ON YAM ESTATE),葵涌(安蔭邨),葵涌(安荫邨),TSUEN WAN (CIRCULAR),荃灣(循環線),荃湾(循环线),
235M,O,1,KWAI CHUNG (ON YAM ESTATE),葵涌(安蔭邨),葵涌(安荫邨),KWAI FONG STATION,葵芳站,葵芳站,
235M,I,1,KWAI FONG STATION,葵芳站,葵芳站,KWAI CHUNG (ON YAM ESTATE),葵涌(安蔭邨),葵涌(安荫邨),
238M,O,1,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),TSUEN WAN STATION,荃灣站,荃湾站,
238M,I,1,TSUEN WAN STATION,荃灣站,荃湾站,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),
238P,O,1,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),CHINA FERRY TERMINAL,中港碼頭,中港码头,
238X,O,1,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),CHINA FERRY TERMINAL,中港碼頭,中港码头,
238X,I,1,CHINA FERRY TERMINAL,中港碼頭,中港码头,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),
240X,O,1,WONG NAI TAU,黃泥頭,黄泥头,KWAI HING STATION,葵興站,葵兴站,
240X,I,1,KWAI HING STATION,葵興站,葵兴站,WONG NAI TAU,黃泥頭,黄泥头,
241X,O,1,TSING YI (CHEUNG CHING ESTATE),青衣(長青邨),青衣(长青邨),KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
241X,I,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,TSING YI (CHEUNG CHING ESTATE),青衣(長青邨),青衣(长青邨),
242X,O,1,TSING YI (CHEUNG HANG ESTATE),青衣(長亨邨),青衣(长亨邨),TSIM SHA TSUI,尖沙咀,尖沙咀,
242X,I,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),TSING YI (CHEUNG HANG ESTATE),青衣(長亨邨),青衣(长亨邨),
243M,O,1,TSING YI (MAYFAIR GARDENS),青衣(美景花園),青衣(美景花园),TSUEN WAN (DISCOVERY PARK),荃灣(愉景新城),荃湾(愉景新城),
243M,I,1,TSUEN WAN (DISCOVERY PARK),荃灣(愉景新城),荃湾(愉景新城),TSING YI (MAYFAIR GARDENS),青衣(美景花園),青衣(美景花园),
243P,O,1,TSING YI (MAYFAIR GARDENS),青衣(美景花園),青衣(美景花园),ALLWAY GARDENS,荃威花園,荃威花园,
248M,O,1,TSING YI STATION,青衣站,青衣站,CHEUNG WANG (CIRCULAR),長宏(循環線),长宏(循环线),
249M,O,1,TSING YI STATION,青衣站,青衣站,MAYFAIR GARDENS (CIRCULAR),美景花園(循環線),美景花园(循环线),
249X,O,1,POK HONG,博康,博康,TSING YI STATION,青衣站,青衣站,
249X,I,1,TSING YI STATION,青衣站,青衣站,POK HONG,博康,博康,
249X,I,2,TSING YI STATION,青衣站,青衣站,TAI WAI STATION,大圍站,大围站,
251A,O,1,KAM SHEUNG ROAD STATION,錦上路站,锦上路站,SHEUNG TSUEN (CIRCULAR),上村(循環線),上村(循环线),
251B,O,1,PAT HEUNG ROAD,八鄉路,八乡路,SHEUNG TSUEN (CIRCULAR),上村(循環線),上村(循环线),
251C,O,1,KONG HA WAI,江夏圍,江夏围,YUEN LONG (CIRCULAR),元朗(循環線),元朗(循环线),
251M,O,1,SHEUNG TSUEN,上村,上村,TSUEN WAN STATION,荃灣站,荃湾站,
252,O,1,TUEN MUN ROAD BBI,屯門公路轉車站(屯門方向),屯门公路转车站(屯门方向),SO KWUN WAT (CIRCULAR),掃管笏(循環線),扫管笏(循环线),
252,O,2,TUEN MUN ROAD BBI,屯門公路轉車站,屯门公路转车站,18 KWUN CHUI ROAD,管翠路18號,管翠路18号,
252,O,3,AVIGNON,星堤,星堤,TUEN MUN ROAD BBI,屯門公路轉車站,屯门公路转车站,
252B,O,1,HANDSOME COURT,恒順園,恒顺园,TSIM SHA TSUI,尖沙咀,尖沙咀,
252X,O,1,HANDSOME COURT,恆順園,恒顺园,LAM TIN STATION,藍田站,蓝田站,
252X,O,2,SO KWUN WAT,掃管笏,扫管笏,LAM TIN STATION,藍田站,蓝田站,
252X,I,1,LAM TIN STATION,藍田站,蓝田站,TUEN MUN (CHI LOK FA YUEN),屯門(置樂花園),屯门(置乐花园),
258A,O,1,HUNG SHUI KIU (HUNG FUK ESTATE),洪水橋(洪福邨),洪水桥(洪福邨),LAM TIN STATION,藍田站,蓝田站,
258D,O,1,TUEN MUN (PO TIN ESTATE),屯門(寶田邨),屯门(宝田邨),LAM TIN STATION,藍田站,蓝田站,
258D,I,1,LAM TIN STATION,藍田站,蓝田站,TUEN MUN (PO TIN ESTATE),屯門(寶田邨),屯门(宝田邨),
258P,O,1,HUNG SHUI KIU (HUNG FUK ESTATE),洪水橋(洪福邨),洪水桥(洪福邨),LAM TIN STATION,藍田站,蓝田站,
258P,I,1,LAM TIN STATION,藍田站,蓝田站,HUNG FUK ESTATE HUNG TIN ROAD,洪天路洪福邨,洪天路洪福邨,
258S,O,1,TUEN MUN (SHAN KING ESTATE),屯門(山景邨),屯门(山景邨),LAM TIN STATION,藍田站,蓝田站,
258X,O,1,TUEN MUN (PO TIN ESTATE),屯門(寶田邨),屯门(宝田邨),KWUN TONG FERRY,觀塘碼頭,观塘码头,
258X,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,TUEN MUN (PO TIN ESTATE),屯門(寶田邨),屯门(宝田邨),
259B,O,1,TUEN MUN PIER HEAD,屯門碼頭,屯门码头,TSIM SHA TSUI,尖沙咀,尖沙咀,
259C,O,1,SUN TUEN MUN CENTRE,新屯門中心,新屯门中心,TSIM SHA TSUI,尖沙咀,尖沙咀,
259D,O,1,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,
259D,O,3,YUET WU VILLA,悅湖山莊,悦湖山庄,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,
259D,I,1,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),
259E,O,1,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),TSUEN WAN STATION,荃灣站,荃湾站,
259R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,TUEN MUN PIER HEAD,屯門碼頭,屯门码头,
259S,O,1,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),KWUN TONG FERRY,觀塘碼頭,观塘码头,
259X,O,1,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),KWUN TONG FERRY,觀塘碼頭,观塘码头,
259X,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),
259X,I,3,LAM WAH STREET PLAYGROUND,臨華街遊樂場,临华街游乐场,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),
260B,O,1,TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,TSIM SHA TSUI,尖沙咀,尖沙咀,
260C,O,1,TUEN MUN (SAM SHING ESTATE),屯門(三聖邨),屯门(三圣邨),KWAI FONG STATION,葵芳站,葵芳站,
260C,I,1,KWAI FONG STATION,葵芳站,葵芳站,TUEN MUN (SAM SHING ESTATE),屯門(三聖邨),屯门(三圣邨),
260R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,TUEN MUN (SIU HONG COURT),屯門(兆康苑),屯门(兆康苑),
