kmb_route,citybus_route,area,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,match_type
N368,619P,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Shun Lee Estate,Central (Macau Ferry),geographic_area
N368,619X,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Shun Lee Estate,Central (Macau Ferry),geographic_area
N368,621,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Laguna City,Central (Hong Kong Station),geographic_area
N368,629,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
N368,641,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
N368,66,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Exchange Square),Stanley Plaza (Ma Hang),geographic_area
N368,679,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
N368,680X,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),geographic_area
N368,681,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Hong Kong Station),Ma On Shan Town Centre,geographic_area
N368,690,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),geographic_area
N368,690P,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),geographic_area
N368,690S,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Exchange Square),Hang Hau (via: LOHAS Park),geographic_area
N368,6A,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Exchange Square),Stanley Fort (Gate),geographic_area
N368,6X,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Exchange Square),Stanley Market,geographic_area
N368,7,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Shek Pai Wan,Central (Ferry Piers),geographic_area
N368,70,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Wah Kwai (via: Aberdeen),Central (Exchange Square),geographic_area
N368,70P,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
N368,71,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Wong Chuk Hang,Central (Rumsey Street),geographic_area
N368,71P,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Sham Wan,Central (Ferry Piers),geographic_area
N368,720,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
N368,720A,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
N368,720P,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Taikoo Shing,Central (Wing Wo Street),geographic_area
N368,720X,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Grand Promenade,Central (Rumsey Street),geographic_area
N368,722,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Yiu Tung Estate,Central (Ferry Piers),geographic_area
N368,75,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Sham Wan,Central (Exchange Square),geographic_area
N368,780,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Chai Wan (East),Central (Ferry Piers),geographic_area
N368,780P,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
N368,788,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
N368,88R,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),City One Shatin,Central,geographic_area
N368,90,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Ap Lei Chau Estate,Central (Exchange Square),geographic_area
N368,90C,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Main Street Ap Lei Chau,Central (Jardine House),geographic_area
N368,91,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
N368,94A,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Wah Fu (Central),Lei Tung Estate,geographic_area
N368,97,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Lei Tung Estate,Central (Exchange Square),geographic_area
N368,979,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
N368,H1,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
N368,H1S,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
N368,H2,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
N368,H2K,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
N368,H3,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
N368,H4,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Stanley Village / Stanley Market,Central Ferry - Hong Kong Observation Wheel,geographic_area
N368,N11,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry),Airport (Ground Transportation Centre),geographic_area
N368,N121,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry),Ngau Tau Kok,geographic_area
N368,N170,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Wah Fu (Central),Sha Tin Central,geographic_area
N368,N182,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry),Sha Tin (Kwong Yuen),geographic_area
N368,N619,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry),Shun Lee Estate,geographic_area
N368,N680,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry),Ma On Shan (Kam Ying Court),geographic_area
N368,N691,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Macau Ferry),Tiu Keng Leng (King Ling Road),geographic_area
N368,N90,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),South Horizons,Central (Macau Ferry),geographic_area
N368,SP10,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Kai Tak Sports Park,Central (Macau Ferry),geographic_area
N368,X15,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Star Ferry),The Peak,geographic_area
N368,X9,central,CENTRAL (MACAU FERRY),YUEN LONG (WEST),Central (Star Ferry),Shek O,geographic_area
N373,1,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Happy Valley (Upper),geographic_area
N373,104R,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Ferry Piers),Mong Kok,geographic_area
N373,109,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Ho Man Tin Estate,geographic_area
N373,11,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Ferry Piers),Jardine's Lookout,geographic_area
N373,111,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Ping Shek Estate,geographic_area
N373,111P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Choi Fook Estate,Central (Macau Ferry),geographic_area
N373,115,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Kowloon City Ferry Pier,geographic_area
N373,115P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Laguna Verde,Central (Macau Ferry),geographic_area
N373,116,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),geographic_area
N373,12,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central Pier 3,Robinson Road / Park Road,geographic_area
N373,15,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central,The Peak,geographic_area
N373,15C,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Hong Kong Observation Wheel),Garden Road,geographic_area
N373,170,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wah Fu (Central),Sha Tin Station,geographic_area
N373,18,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),North Point (Healthy Street Central),Kennedy Town (Belcher Bay) / Sheung Wan,geographic_area
N373,182,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
N373,182X,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
N373,18P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Kennedy Town (Belcher Bay),North Point (Healthy Street Central),geographic_area
N373,1P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wong Nai Chung Road (Broadwood Road),Central,geographic_area
N373,2,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Grand Promenade,Central (Macau Ferry),geographic_area
N373,25,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Pier 3/5),Braemar Hill,geographic_area
N373,260,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Exchange Square),Stanley Market,geographic_area
N373,307,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Tai Po Centre,Central (Ferry Piers) / Sheung Wan,geographic_area
N373,37A,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Chi Fu Fa Yuen,Central,geographic_area
N373,3A,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Star Ferry),Felix Villas,geographic_area
N373,4,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wong Chuk Hang / Wah Fu (South),Central,geographic_area
N373,41A,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wah Fu (Central),North Point Ferry Pier,geographic_area
N373,4X,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wah Fu (South),Central (Exchange Square),geographic_area
N373,511,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Tai Hang Drive,Central (Ferry Piers),geographic_area
N373,580,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),GO PARK Sai Sha,Sha Tin Central,geographic_area
N373,6,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Exchange Square),Stanley Market,geographic_area
N373,619,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Shun Lee Estate,geographic_area
N373,619P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Shun Lee Estate,Central (Macau Ferry),geographic_area
N373,619X,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Shun Lee Estate,Central (Macau Ferry),geographic_area
N373,621,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Laguna City,Central (Hong Kong Station),geographic_area
N373,629,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
N373,641,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
N373,66,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Exchange Square),Stanley Plaza (Ma Hang),geographic_area
N373,679,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
N373,680X,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),geographic_area
N373,681,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Hong Kong Station),Ma On Shan Town Centre,geographic_area
N373,690,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),geographic_area
N373,690P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),geographic_area
N373,690S,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Exchange Square),Hang Hau (via: LOHAS Park),geographic_area
N373,6A,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Exchange Square),Stanley Fort (Gate),geographic_area
N373,6X,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Exchange Square),Stanley Market,geographic_area
N373,7,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Shek Pai Wan,Central (Ferry Piers),geographic_area
N373,70,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wah Kwai (via: Aberdeen),Central (Exchange Square),geographic_area
N373,70P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
N373,71,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wong Chuk Hang,Central (Rumsey Street),geographic_area
N373,71P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Sham Wan,Central (Ferry Piers),geographic_area
N373,720,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
N373,720A,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
N373,720P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Taikoo Shing,Central (Wing Wo Street),geographic_area
N373,720X,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Grand Promenade,Central (Rumsey Street),geographic_area
N373,722,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Yiu Tung Estate,Central (Ferry Piers),geographic_area
N373,75,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Sham Wan,Central (Exchange Square),geographic_area
N373,780,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Chai Wan (East),Central (Ferry Piers),geographic_area
N373,780P,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
N373,788,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
N373,88R,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),City One Shatin,Central,geographic_area
N373,90,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Ap Lei Chau Estate,Central (Exchange Square),geographic_area
N373,90C,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Main Street Ap Lei Chau,Central (Jardine House),geographic_area
N373,91,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
N373,94A,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wah Fu (Central),Lei Tung Estate,geographic_area
N373,97,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Lei Tung Estate,Central (Exchange Square),geographic_area
N373,979,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
N373,H1,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
N373,H1S,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
N373,H2,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
N373,H2K,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
N373,H3,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
N373,H4,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Stanley Village / Stanley Market,Central Ferry - Hong Kong Observation Wheel,geographic_area
N373,N11,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Airport (Ground Transportation Centre),geographic_area
N373,N121,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Ngau Tau Kok,geographic_area
N373,N170,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Wah Fu (Central),Sha Tin Central,geographic_area
N373,N182,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Sha Tin (Kwong Yuen),geographic_area
N373,N619,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Shun Lee Estate,geographic_area
N373,N680,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Ma On Shan (Kam Ying Court),geographic_area
N373,N691,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Macau Ferry),Tiu Keng Leng (King Ling Road),geographic_area
N373,N90,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),South Horizons,Central (Macau Ferry),geographic_area
N373,SP10,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Kai Tak Sports Park,Central (Macau Ferry),geographic_area
N373,X15,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Star Ferry),The Peak,geographic_area
N373,X9,central,FANLING (LUEN WO HUI),CENTRAL (MACAU FERRY),Central (Star Ferry),Shek O,geographic_area
N373,1,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Happy Valley (Upper),geographic_area
N373,104R,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Ferry Piers),Mong Kok,geographic_area
N373,109,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Ho Man Tin Estate,geographic_area
N373,11,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Ferry Piers),Jardine's Lookout,geographic_area
N373,111,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Ping Shek Estate,geographic_area
N373,111P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Choi Fook Estate,Central (Macau Ferry),geographic_area
N373,115,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Kowloon City Ferry Pier,geographic_area
N373,115P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Laguna Verde,Central (Macau Ferry),geographic_area
N373,116,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),geographic_area
N373,12,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central Pier 3,Robinson Road / Park Road,geographic_area
N373,15,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central,The Peak,geographic_area
N373,15C,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Hong Kong Observation Wheel),Garden Road,geographic_area
N373,170,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wah Fu (Central),Sha Tin Station,geographic_area
N373,18,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),North Point (Healthy Street Central),Kennedy Town (Belcher Bay) / Sheung Wan,geographic_area
N373,182,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
N373,182X,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
N373,18P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Kennedy Town (Belcher Bay),North Point (Healthy Street Central),geographic_area
N373,1P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wong Nai Chung Road (Broadwood Road),Central,geographic_area
N373,2,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Grand Promenade,Central (Macau Ferry),geographic_area
N373,25,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Pier 3/5),Braemar Hill,geographic_area
N373,260,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Exchange Square),Stanley Market,geographic_area
N373,307,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Tai Po Centre,Central (Ferry Piers) / Sheung Wan,geographic_area
N373,37A,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Chi Fu Fa Yuen,Central,geographic_area
N373,3A,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Star Ferry),Felix Villas,geographic_area
N373,4,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wong Chuk Hang / Wah Fu (South),Central,geographic_area
N373,41A,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wah Fu (Central),North Point Ferry Pier,geographic_area
N373,4X,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wah Fu (South),Central (Exchange Square),geographic_area
N373,511,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Tai Hang Drive,Central (Ferry Piers),geographic_area
N373,580,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),GO PARK Sai Sha,Sha Tin Central,geographic_area
N373,6,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Exchange Square),Stanley Market,geographic_area
N373,619,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Shun Lee Estate,geographic_area
N373,619P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Shun Lee Estate,Central (Macau Ferry),geographic_area
N373,619X,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Shun Lee Estate,Central (Macau Ferry),geographic_area
N373,621,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Laguna City,Central (Hong Kong Station),geographic_area
N373,629,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
N373,641,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
N373,66,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Exchange Square),Stanley Plaza (Ma Hang),geographic_area
N373,679,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
N373,680X,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),geographic_area
N373,681,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Hong Kong Station),Ma On Shan Town Centre,geographic_area
N373,690,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),geographic_area
N373,690P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),geographic_area
N373,690S,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Exchange Square),Hang Hau (via: LOHAS Park),geographic_area
N373,6A,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Exchange Square),Stanley Fort (Gate),geographic_area
N373,6X,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central (Exchange Square),Stanley Market,geographic_area
N373,7,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Shek Pai Wan,Central (Ferry Piers),geographic_area
N373,70,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wah Kwai (via: Aberdeen),Central (Exchange Square),geographic_area
N373,70P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
N373,71,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wong Chuk Hang,Central (Rumsey Street),geographic_area
N373,71P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Sham Wan,Central (Ferry Piers),geographic_area
N373,720,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
N373,720A,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
N373,720P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Taikoo Shing,Central (Wing Wo Street),geographic_area
N373,720X,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Grand Promenade,Central (Rumsey Street),geographic_area
N373,722,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Yiu Tung Estate,Central (Ferry Piers),geographic_area
N373,75,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Sham Wan,Central (Exchange Square),geographic_area
N373,780,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Chai Wan (East),Central (Ferry Piers),geographic_area
N373,780P,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
N373,788,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
N373,88R,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),City One Shatin,Central,geographic_area
N373,90,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Ap Lei Chau Estate,Central (Exchange Square),geographic_area
N373,90C,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Main Street Ap Lei Chau,Central (Jardine House),geographic_area
N373,91,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
N373,94A,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Wah Fu (Central),Lei Tung Estate,geographic_area
N373,97,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Lei Tung Estate,Central (Exchange Square),geographic_area
N373,979,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
N373,H1,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
N373,H1S,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
N373,H2,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
N373,H2K,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
N373,H3,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
N373,H4,central,CENTRAL (MACAU FERRY),FANLING (LUEN WO HUI),Stanley Village / Stanley Market,Central Ferry - Hong Kong Observation Wheel,geographic_area
